ref,name,lat,long,local_ref,network,operator,shelter,bench,tactile_paving,wheelchair,departure_board,lit,bin,covered,passenger_information_display,pole,flag,kerb,traffic_sign,advertising,layer,street,crossing
503411572,Heatherstone Avenue,50.8517252,-1.4094002,,,,,,,,,,,,,,,,,,,Corbould Road,Heatherstone Avenue
503411576,Carbould Road,50.8516318,-1.4087053,,,,,,,,,,,,,,,,,,,Heatherstone Avenue,Arnwood Avenue
503411579,Armitage Avenue,50.8525836,-1.4066618,,,,,,,,,,,,,,,,,,,Heatherstone Avenue,Arnwood Avenue
503411583,Armitage Avenue,50.8531977,-1.4053896,,,,,,,,,,,,,,,,,,,Heatherstone Avenue,Partridge Road
503411588,Dukeswood Drive,50.8536187,-1.4033101,,,,,,,,,,,,,,,,,,,Heatherstone Avenue,Andrew Close
503411590,Dukeswood Drive,50.8537425,-1.4028965,,,,,,,,,,,,,,,,,,,Heatherstone Avenue,Dukeswood Drive
503411592,Butts Ash Lane,50.8529754,-1.4006190,,,,,,,,,,,,,,,,,,,Chaloner Crescent,Butts Ash Lane
503411597,Butts Ash Lane,50.8529397,-1.4006763,,,,,,,,,,,,,,,,,,,Chaloner Crescent,Butts Ash Lane
503411599,Chaloner Crescent,50.8529366,-1.4000655,,,,,,,,,,,,,,,,,,,Butts Ash Lane,Chaloner Crescent
503411605,Chaloner Crescent,50.8525887,-1.4006240,,,,,,,,,,,,,,,,,,,Butts Ash Lane,Chaloner Crescent
503411613,Gleneagles Ph,50.8507261,-1.4056767,,,,,,,,,,,,,,,,,,,Butts Ash Lane,Forest Front
503411616,Monks Walk,50.8494689,-1.4131363,,,,,,,,,,,,,,,,,,,Monks Walk,Roman Road
503411621,Monks Walk,50.8494958,-1.4131218,,,,,,,,,,,,,,,,,,,Monks Walk,Roman Road
503411624,The Heath Ph,50.8505542,-1.4161627,,,,,,,,,,,,,,,,,,,Roman Road,Opp Lunedale Road
503411629,The Heath Ph,50.8506084,-1.4162047,,,,,,,,,,,,,,,,,,,Roman Road,Lunedale Road
503411633,Butts Ash Lane,50.8520861,-1.4008009,,,,,,,,,,,,,,,,,,,Yelverton Avenue,Butts Ash Lane
503411637,Butts Ash Lane,50.8521038,-1.4007439,,,,,,,,,,,,,,,,,,,Yelverton Avenue,Butts Ash Lane
503411641,Warrys Close,50.8501434,-1.4007548,,,,,,,,,,,,,,,,,,,Ashleigh Close,Warrys Close
503411644,Warrys Close,50.8501796,-1.4007969,,,,,,,,,,,,,,,,,,,Ashleigh Close,Warrys Close
503411650,Ashleigh Close,50.8495328,-1.4009473,,,,,,,,,,,,,,,,,,,Warrys Close,Ashleigh Close
503411653,Ashleigh Close,50.8495595,-1.4008901,,,,,,,,,,,,,,,,,,,Warrys Close,Ashleigh Close
503411656,Beech Crescent,50.8482621,-1.4004096,,,,,,,,,,,,,,,,,,,Cedar Road,Opp Beech Crescent
503411659,Beech Crescent,50.8481084,-1.4002553,,,,,,,,,,,,,,,,,,,Cedar Road,Beech Crescent
503411662,Elm Crescent,50.8469697,-1.3991619,,,,,,,,,,,,,,,,,,,Cedar Road,Elm Crescent
503411665,Elm Crescent,50.8469439,-1.3976423,,,,,,,,,,,,,,,,,,,Cedar Road,Opp Elm Crescent
503411670,Cedar Road,50.8470264,-1.3962066,,,,,,,,,,,,,,,,,,,Cedar Road,Laburnum Crescent
503411678,Maple Road,50.8474874,-1.3949364,,,,,,,,,,,,,,,,,,,Cedar Road,Laburnum Crescent
503411681,Maple Road,50.8475657,-1.3944241,,,,no,no,no,,,no,,,,,,,,,,Cedar Road,Opp Maple Road
503411685,Netley View,50.8476444,-1.3939969,,,,yes,yes,no,,,no,,,,,,,,,,Fawley Road,Opp Hardley Lane
503411688,Netley View,50.8470759,-1.3936207,,,,yes,yes,no,,,no,,,,,,,,,,Fawley Road,Hardley Lane
503411692,Hardley Roundabout,50.8439526,-1.3927221,,,,no,no,no,,,no,,,,,,,,,,Fawley Road,
503411696,Hardley Roundabout,50.8439676,-1.3925290,,,,no,no,no,,,yes,,,,,,,,,,Fawley Road,
503411699,Lime Kiln Lane,50.8397494,-1.3889578,,,,,,,,,,,,,,,,,,,Main Road,Long Lane
503411706,Lime Kiln Lane,50.8396942,-1.3887171,,,,no,no,no,,,yes,,,,,,,,,,Long Lane,Main Road
503411709,New Forest Academy,50.8375427,-1.3865724,,,,yes,yes,no,,,yes,,,,,,,,,,Cadlands Park Estate,Larch Avenue
503411712,Southbourne Avenue,50.8346874,-1.3839968,,,,no,no,no,,,no,,,,,,,,,,Long Lane,Southbourne Avenue
503411715,Southbourne Avenue,50.8342886,-1.3834056,,,,yes,yes,no,,,yes,,,,,,,,,,Long Lane,Southbourne Avenue
503411718,Waltons Avenue,50.8320341,-1.3805243,,,,yes,yes,no,,,yes,,,,,,,,,,Long Lane,Sloane Avenue
503411722,Waltons Avenue,50.8317874,-1.3798034,,,,yes,yes,no,,,no,,,,,,,,,,Long Lane,Sloane Avenue
503411727,Long Lane Junction,50.8326660,-1.3826744,,,,no,no,no,,,yes,,,,,,,,,,Holbury Drove,Long Lane
503411734,Long Lane Junction,50.8326562,-1.3825183,,,,no,no,no,,,yes,,,,,,,,,,Holbury Drove,Long Lane
503411738,Holbury Drove Shops,50.8309788,-1.3884618,,,,no,no,no,,,no,,,,,,,,,,Holbury Drove,Hayward Court
503411742,Holbury Drove Shops,50.8303789,-1.3906706,,,,yes,yes,no,,,no,,,,,,,,,,Holbury Drove,Lime Kiln Lane
503411744,Foxcroft Drive,50.8284001,-1.3923292,,,,no,no,no,,,,,,,,,,,,,Holbury Drove,Studley Avenue
503411748,Foxcroft Drive,50.8268872,-1.3919371,,,,no,no,no,,,,,,,,,,,,,Foxcroft Drive,Great Elms Close
503411762,David Court,50.9860296,-1.4828026,,,,,,,,,,,,,,,,,,,Tadburn Road,St Barbe Close
503411766,Tadburn Road,50.9885656,-1.4833551,,,,,,,,,,,,,,,,,,,Botley Road,Tadburn Road
503411769,Tadburn Road,50.9887176,-1.4831352,,,,,,,,,,,,,,,,,,,Botley Road,Tadburn Road
503411772,Chambers Avenue,50.9876606,-1.4759093,,,,,,,,,,,,,,,,,,,Botley Road,Whitenap Lane
503411777,Chambers Avenue,50.9877754,-1.4752334,,,,,,,,,,,,,,,,,,,Whitenap Lane,Botley Road
503411780,Montfort College,50.9872371,-1.4715106,,,,,,,,,,,,,,,,,,,Botley Road,Montfort Close
503411783,Halterworth Primary School,50.9885825,-1.4707259,,,,,,,,,,,,,,,,,,,Halterworth Lane,Montfort Heights
503411786,Meon Road,50.9910308,-1.4712395,,,,,,,,,,,,,,,,,,,Saxon Way,Kennett Road
503411790,Anton Close,50.9909580,-1.4730499,,,,,,,,,,,,,,,,,,,Saxon Way,Anton Close
503411797,Saxon Way,50.9896026,-1.4755872,,,,,,,,,,,,,,,,,,,Senlac Road,Saxon Way
503411801,The Vikings,50.9883316,-1.4749176,,,,,,,,,,,,,,,,,,,Senlac Road,The Vikings
503411807,Halterworth Lane,50.9866993,-1.4699068,,,,,,,,,,,,,,,,,,,Botley Road,Halterworth Lane
503411811,Montfort Road,50.9859895,-1.4660824,,,,,,,,,,,,,,,,,,,Botley Road,Montfort Road
503411816,Luzborough Roundabout,50.9859036,-1.4650006,,,,,,,,,,,,,,,,,,,Botley Road,Montfort Road
503411823,Romsey Junior School,50.9931208,-1.4841541,,,,,,,,,,,,,,,,,,,Cupernham Lane,Great Well Drive
503411827,Mercer Way,50.9955972,-1.4849246,,,,,,,,,,,,,,,,,,,Cupernham Lane,Mercer Way
503411832,Durban Close,50.9969927,-1.4852939,,,,,,,,,,,,,,,,,,,Cupernham Lane,Durban Close
503411839,Brook Way,51.0006029,-1.4801519,,,,,,,,,,,,,,,,,,,Woodley Lane,Brook Way
503411844,Brook Way,51.0005308,-1.4800956,,,,,,,,,,,,,,,,,,,Woodley Lane,Brook Way
503411848,Cavendish Close,51.0020762,-1.4777982,,,,,,,,,,,,,,,,,,,Woodley Lane,Cavendish Close
503411851,Cavendish Close,51.0022623,-1.4771832,,,,,,,,,,,,,,,,,,,Woodley Lane,Cavendish Close
503411854,Carisbrooke Court,50.9980308,-1.4821188,,,,,,,,,,,,,,,,,,,Woodley Lane,Carisbrooke Court
503411857,Ashley Meadows,50.9960170,-1.4822409,,,,,,,,,,,,,,,,,,,Woodley Lane,Ashley Meadows
503412489,Bartley Lodge,50.9197359,-1.5818215,,,,no,,,,,,,,,,,,,,,Lyndhurst Road,
503412491,Bartley Lodge,50.9198180,-1.5821480,,,,no,,,,,,,,,,,,,,,Lyndhurst Road,
503412619,Orchard Close,50.8278497,-1.3551211,,,,,,,,,,,,,,,,,,,Church Lane,Orchard Close
503412624,Linda Road,50.8277006,-1.3509487,,,,,,,,,,,,,,,,,,,Sherringham Close,Church Lane
503412635,Water Lane,50.8606541,-1.4109783,,,,,,,,,,,,,,,,,,,Mullin's Lane,The Wicket
503412639,Water Lane,50.8607801,-1.4110051,,,,,,,,,,,,,,,,,,,Mullin's Lane,The Wicket
503412678,Tatchbury Lane,50.9166488,-1.5358999,,,,,,,,,,,,,,,,,,,Ringwood Road,Tatchbury Lane
503412684,Tatchbury Lane,50.9163695,-1.5357746,,,,,,,,,,,,,,,,,,,Ringwood Road,Tatchbury Lane
